%   dft 	Mg/Ca
%   [mm]	[ppm]
29.75	2.593593079
29.80	2.400535504
29.85	2.137026857
29.90	1.609234223
29.95	1.428274559
30.00	1.737655123
30.05	1.897183303
30.10	1.832528808
30.15	1.965937293
30.20	1.641252126
30.25	1.674649636
30.30	1.318998641
30.35	1.516321918
30.40	1.823427294
30.45	1.447549015
30.50	1.207433201
30.55	1.501385647
30.60	1.194670425
30.65	1.461189535
30.70	1.398483134
30.75	1.424454345
30.80	1.408708684
30.85	1.337852301
30.90	1.32196668
30.95	0.943967574
31.00	1.200078054
31.05	1.440285753
31.10	1.277479627
31.15	1.756607839
31.20	1.463178788
31.25	1.313257603
31.30	1.494539782
31.35	1.682403544
31.40	1.461967349
31.45	1.528266069
31.50	1.630984844
31.55	1.413272196
31.60	1.545590098
31.65	1.498375002
31.70	2.169197397
31.75	2.00008715
31.80	1.708009062
31.85	1.736864959
31.90	1.837779258
31.95	1.802507565
32.00	1.526896471
32.05	1.13104842
32.10	1.42024094
32.15	1.43701517
32.20	1.535182603
32.25	1.323977648
32.30	1.400419182
32.35	1.38346585
32.40	1.194992104
32.45	1.399167243
32.50	1.526567194
32.55	1.584525223
32.60	1.180759894
32.65	1.817106942
32.70	1.680926149
32.75	1.451368874
32.80	1.686347089
32.85	1.358087449
32.90	1.563488814
32.95	1.351088136
33.00	1.294859256
33.05	1.334330461
33.10	1.676578107
33.15	1.226746979
33.20	1.429035616
33.25	1.28153758
33.30	1.235978262
33.35	1.183495277
33.40	1.207408734
33.45	1.378573735
33.50	1.251264831
33.55	1.714948987
33.60	1.44002304
33.65	1.347628069
33.70	1.512628962
33.75	1.604179887
33.80	1.347802702
33.85	1.401395714
33.90	1.168071437
33.95	1.293406899
34.00	1.429674513
34.05	1.91339446
34.10	1.604575096
34.15	1.406015159
34.20	1.433944675
34.25	1.467376237
34.30	1.629587094
34.35	2.189384133
34.40	1.952779077
34.45	1.485776116
34.50	1.460135745
34.55	1.529962049
34.60	1.29180422
34.65	1.722158439
34.70	1.608572747
34.75	1.800785877
34.80	1.435431673
34.85	1.456018319
34.90	1.532704647
34.95	1.261129302
35.00	1.230589301
35.05	1.041309431
35.10	1.310457193
35.15	1.498257952
35.20	1.477002535
35.25	1.572843868
35.30	1.316814422
35.35	1.510317889
35.40	1.46912335
35.45	1.886994746
35.50	1.742436243
35.55	1.435039401
35.60	1.579195636
35.65	1.31397622
35.70	1.03114457
35.75	1.340251033
35.80	1.126901246
35.85	1.58538001
35.90	1.910333294
35.95	1.501245932
36.00	1.117626149
36.05	1.328025388
36.10	1.117053686
36.15	1.136981863
36.20	1.255403097
36.25	1.453337486
36.30	1.609301205
36.35	1.464595398
36.40	1.44405212
36.45	1.316126312
36.50	1.347972674
36.55	1.443274577
36.60	1.267357662
36.65	1.734386009
36.70	1.793408294
36.75	1.597759126
36.80	1.395056329
36.85	1.525896898
36.90	1.483400539
36.95	1.645651398
37.00	1.459578323
37.05	1.459796932
37.10	1.298147781
37.15	1.319624272
37.20	1.539568921
37.25	1.375861567
37.30	1.556946701
37.35	1.276253545
37.40	1.502258202
37.45	1.66483966
37.50	1.206467938
37.55	1.385510542
37.60	1.115156092
37.65	0.952306612
37.70	1.341751895
37.75	1.328194445
37.80	1.046490246
37.85	1.637210864
37.90	1.383453399
37.95	1.349196615
38.00	1.172964138
38.05	1.521985505
38.10	1.399352018
38.15	1.781622092
38.20	1.708636448
38.25	1.619087861
38.30	1.493535444
38.35	1.251159261
38.40	1.438559782
38.45	1.744488858
38.50	1.54032381
38.55	1.513376445
38.60	1.276816343
38.65	1.446124182
38.70	1.203682401
38.75	1.887446811
38.80	2.17321118
38.85	2.55438789
38.90	2.244814911
38.95	2.535790588
39.00	2.256459248
39.05	3.133396294
39.10	2.917704785
39.15	3.242115517
39.20	3.281520499
39.25	2.361488362
39.30	1.742154897
39.35	1.709445604
39.40	3.581301835
39.45	3.554635369
39.50	2.477197083
39.55	1.77524468
39.60	1.57450679
39.65	1.929792318
39.70	1.617242093
39.75	1.680880867
39.80	2.087454549
39.85	1.90207054
39.90	1.43798998
39.95	1.635505974
40.00	1.715142256
40.05	1.67167557
40.10	1.40553653
40.15	1.998670223
40.20	2.26833322
40.25	1.986883688
40.30	1.743311495
40.35	1.659324813
40.40	1.734644673
40.45	1.697522333
40.50	2.007001659
40.55	1.702787382
40.60	1.725910693
40.65	1.729196751
40.70	1.62588381
40.75	1.613517693
40.80	1.544136295
40.85	1.739436994
40.90	1.653344525
40.95	1.416061922
41.00	1.4329289
41.05	1.509697687
41.10	1.692942894
41.15	1.407459536
41.20	1.507806237
41.25	1.693220157
41.30	1.825559077
41.35	2.102107179
41.40	1.467983869
41.45	1.323932524
41.50	1.004759387
41.55	1.271472029
41.60	1.439109081
41.65	1.624997697
41.70	1.212574137
41.75	1.568174315
41.80	
41.85	
41.90	
41.95	
42.00	
42.05	
42.10	
42.15	
42.20	
42.25	
42.30	
42.35	
42.40	
42.45	
42.50	
42.55	
42.60	
42.65	
42.70	
42.75	
42.80	1.359692808
42.85	1.159148259
42.90	1.244328016
42.95	1.310109051
43.00	1.549559509
43.05	1.926824055
43.10	1.125011112
43.15	1.152661977
43.20	1.115776225
43.25	1.064170703
43.30	1.245865845
43.35	1.336017844
